,County,NAME,18-24-00num,18-24-00per,25-34-00num,25-34-00per,18-24-10num,18-24-10per,25-34-10num,25-34-10per,”Population aged 18-24, number," 2006-2010 5-yr est""","Population aged 18-24, percent, 2006-2010 5-yr est","Population aged 18-24, percent, 2006-2010 5-yr est, Margin of Error","Population aged 25-34, number, 2006-2010 5-yr est","Population aged 25-34, percent, 2006-2010 5-yr est","Population aged 25-34, percent, 2006-2010 5-yr est, Margin of Error",Unnamed: 18,total00,total10
0,Cuyahoga,1011.01,222.0,10.03,537.0,24.27,172,9.65,241,13.52,169,9.8,11.2,329,19.07,9.19,,,,759.0,413
1,Cuyahoga,1011.02,447.0,10.03,1309.0,29.37,379,8.98,1023,24.24,414,9.35,3.58,944,21.31,6.01,,,,1756.0,1402
2,Cuyahoga,1012.0,269.0,8.98,417.0,13.92,271,10.58,379,14.79,339,12.03,5.61,495,17.57,3.82,,,,686.0,650
3,Cuyahoga,1013.0,173.0,9.1,383.0,20.15,190,11.66,277,17,216,12.83,8.87,354,21.03,8.89,,,,556.0,467
4,Cuyahoga,1014.0,212.0,9.36,404.0,17.84,230,10.48,394,17.95,115,5.32,6.47,475,21.98,7.62,,,,616.0,624
5,Cuyahoga,1015.01,283.0,11.1,437.0,17.14,251,11.44,315,14.36,50,2.22,7.63,406,17.99,6.55,,,,720.0,566
6,Cuyahoga,1016.03,305.0,9.86,521.0,16.85,276,11.17,353,14.29,215,10.66,8.9,186,9.23,4.35,,,,826.0,629
7,Cuyahoga,1017.0,280.0,9.8,450.0,15.76,362,13.15,407,14.79,228,9.43,8.18,292,12.08,4.79,,,,730.0,769
8,Cuyahoga,1018.0,341.0,9.9,486.0,14.12,282,9.59,381,12.95,229,7.96,2.95,382,13.28,3.64,,,,827.0,663
9,Cuyahoga,1019.01,229.0,10.91,338.0,16.1,177,10.46,232,13.71,205,15.98,16.33,140,10.91,6.4,,,,567.0,409
10,Cuyahoga,1021.01,338.0,10.04,603.0,17.92,336,10.66,447,14.18,281,9.42,3.77,364,12.21,4.29,,,,941.0,783
11,Cuyahoga,1021.02,242.0,9.25,430.0,16.43,232,9.24,366,14.57,173,6.71,7.09,246,9.54,4.15,,,,672.0,598
12,Cuyahoga,1022.0,263.0,9.29,448.0,15.82,264,9.6,401,14.58,118,4.56,5.19,408,15.77,5.23,,,,711.0,665
